Name,Current Rating,Maximum Rating,Total Games Played,Rating Progression,Total Playing Time,Total Time on TV
medipoluniversity,3006.18,3020,91,60,157216,12178
caissa-ai,3000.31,3000,3256,8,5646753,1323366
qalatbotengine,2937.32,2937,1971,6,1948448,604415
super-sketchy,2902.37,2908,847,2,990435,143029
etabetaita,2893.73,2910,1971,8,788233,253182
torombot,2888.52,2903,2375,-3,13188230,5291302
thematrix2029,2882.92,2930,1424,-2,1409951,321074
nikitosikbot,2881.63,3041,4733,-8,18230054,2507479
yobot_v2,2873.92,2890,3291,-7,19747970,5215426
pangubot,2873.79,2887,464,-1,911375,208421
ultimatel,2872.75,2878,463,-3,591793,192382
proteussf-lite,2866.47,2891,1840,13,1619616,198991
md211bot,2865.37,2871,343,6,1006217,205312
torbot,2864.66,2864,272,9,696260,182927
shineshou90_bot,2854.69,2873,894,-3,2459207,538889
botgravity,2844.05,2861,105,-1,794891,195015
mate-ai,2843.02,2894,3098,1,5500768,1457911
raspfish,2829.47,2886,10555,-5,15196776,3407175
ttbot,2828.38,2828,287,7,426824,32752
chessvbot,2826.63,2841,61,-2,252515,8292
chessfybot,2819.28,2850,211,-12,672088,186822
chessbot2880,2811.18,2823,30,15,355685,58890
resolutebot,2807.66,2929,11540,-18,18541976,7067388
blundar_bot,2792.59,2829,646,7,1622106,221111
mrchessthebot,2791.35,2850,1040,0,3023946,486910
arasanx,2766.53,2812,828,-11,3934132,373012
juroj,2723.36,2789,2432,20,25898608,1640022
mustafayilmazbot,2721.84,2838,324,7,212798,7415
lazybot,2712.53,2748,1729,0,1919813,368986
aks-mantissa,2644.25,2716,7633,-7,12893795,1367283
expositor,2637.28,2729,5662,12,13657313,1464173
playwithkomodo,2605.24,2644,709,27,1400466,53784
opentalbot2023,2579.64,2721,162,-79,317877,9407
pawn_git,2571.9,2611,1175,44,2113257,153293
materialisoverrated,2539.06,2577,3943,-17,2312483,93274
weiawaga,2510.73,2564,10204,24,35539773,4434728
misteick_bot,2498.46,2534,4303,4,6279131,262917
cheng-4,2440.57,2577,5068,-35,18000268,3127375
odonata-bot,2396.97,2435,5423,26,7637615,671773
admete_bot,2388.07,2447,1351,-8,1522001,125020
phalanx-xxv,2374.97,2455,1792,23,3157486,826725
pseudo-0,2370.09,2393,1922,-1,3921982,735114
fornax-engine,2356.84,2413,5711,-2,8240188,971464
chessnoobcomp,2346.37,2365,1399,4,3567668,1243276
apotheosis_bot,2313.32,2317,73,19,118949,716
bot_adario,2283.36,2322,1176,-32,1496949,353829
simpleeval,2281.08,2583,12656,-16,29682165,3300766
leorikbot,2274.1,2342,830,4,967015,48162
simplereval,2267.82,2428,3029,-7,6602838,390332
honzovy-sachy-2,2224.57,2264,5955,13,10982494,1155553
garbobot,2218.49,2448,7903,8,13102499,2046073
jangine,2205.09,2224,1989,-16,3048101,90421
morabandbot,2203.06,2203,59,15,145713,2267
fataliibot,2199.42,2222,5135,6,7741536,167183
humanian,2199.38,2330,10246,8,5430779,324253
elmichess,2179.13,2265,3550,-7,7892736,2071978
lunachessengine,2176.46,2257,794,-19,3732027,15638
maxthedog,2156.28,2187,2025,11,2962039,68573
boris-trapsky,2155.61,2250,26223,28,67461453,7752317
historyexplorer,2152.67,2213,2069,-1,1993176,40537
eubos,2133.15,2221,12243,-9,14474163,1855722
lazybotjr,2127.24,2169,1324,-25,1223794,64332
blank_bot,2081.96,2151,3442,-1,4143128,165057
halcyonbot,2078.72,2136,4716,9,7439480,129269
humaia-strong,2042.95,2049,2340,12,2320689,31318
bot_elvisthecat,2041.48,2048,793,-1,805967,6776
leelarogue,2039.69,2186,2057,-8,5702105,301161
theoden8_uci,2021.06,2127,2846,18,3957744,84836
nc3nc6bot,2010.56,2094,179,-14,540146,7240
leelalevel5,1971.37,2301,3453,20,9603794,43490
chess-2-bot,1970.98,2017,3415,-6,3286251,37988
zeekat,1942.22,2049,14760,-14,23785652,347850
zulu_bot,1911.79,1956,335,2,265576,534
baby_eubos,1903.91,1940,4284,8,3123901,28768
kasabot,1892.26,1899,2182,25,1344782,3716
notropis,1879.1,1933,3992,1,0,0
honzovy-sachy,1805.18,1962,3914,-22,4478443,360483
virutor,1796.55,1955,6540,-2,9635664,776106
