Name,Current Rating,Maximum Rating,Total Games Played,Rating Progression,Total Playing Time,Total Time on TV
qalatbotengine,3152.41,3152,3252,3,2542089,644655
caissa-ai,3077.35,3137,4577,-9,12986678,4750793
nikitosikbot,2834.67,3041,6815,-2,26082786,3999321
medipoluniversity,2629.3,3020,116,49,197206,12291
proteussf-open,3000.88,3016,2408,3,2334910,136077
proteussf-turbo,3000.75,3010,1776,-1,3183887,211811
proteussf,3010.08,3010,1549,5,2101929,152702
proteussf-lite,3002.4,3002,2438,3,2562746,246645
ttbot,2852.75,2970,499,-19,669822,57461
torbot,2921.7,2958,1884,-5,2829012,489074
thematrix2029,2871.15,2930,1818,4,2130184,526527
resolutebot,2856.07,2929,11652,0,19329402,7145125
firefishbot_v2,2882.33,2914,2340,-6,1214253,188268
firefishbot,2855.43,2912,2487,-3,1753624,214025
etabetaita,2893.69,2910,1972,9,1080554,369066
variantstop,2895.57,2904,266,-5,199965,24917
torombot,2873.29,2903,3339,-1,17926853,6211526
proteussf-godot,2879.47,2902,812,1,873594,65391
caissa-test,2812.86,2897,39,-68,4980793,3115426
babyultimate,2893.97,2895,356,11,550521,107590
mate-ai,2822.3,2894,3924,-3,7056126,1789079
yobot_v2,2873.58,2890,4812,-4,26819577,6386132
pangubot,2876.31,2887,1271,-5,2724170,539198
raspfish,2814.43,2886,12162,12,21892316,4227983
ultimatel,2860.49,2886,818,0,1144639,286632
thematrix2025,2870.21,2878,577,1,2362740,406459
shineshou90_bot,2803.14,2873,1994,3,6851981,1035087
md211bot,2847.27,2871,479,-1,1914401,346869
leelamultiposs,2868.9,2868,404,2,945401,63239
botgravity,2844.05,2861,106,-1,842243,203374
chessfybot,2819.28,2850,211,-12,672088,186822
tutorialbotelmejor,2850.11,2850,226,1,394817,66525
mrchessthebot,2777.2,2850,1876,3,5255871,632263
chessbot2880,2841.75,2846,305,-5,1541050,263526
chessvbot,2771.15,2841,95,-15,387675,12976
mustafayilmazbot,2726.06,2838,364,9,259767,10100
catriever,2471.87,2837,768,-4,1024856,61726
arasanx,2806.83,2831,1883,-13,9339537,682492
sf-nnue,2830.33,2830,79,18,223919,22315
blundar_bot,2772.95,2829,1479,5,4045157,462379
reinforcementtrial,2812.78,2819,121,-4,10480384,1266327
nikitosik-ai,2777.89,2813,364,3,2418267,219400
juroj,2759.93,2789,2460,3,28169273,1834773
abcbot,2728.35,2773,774,-2,3875052,208179
lazybot,2719.94,2764,2052,-44,2201970,370042
expositor,2591.87,2729,7478,21,18363046,1707096
opentalbot2023,2602.07,2721,212,-19,419720,11221
aks-mantissa,2543.83,2716,10244,11,16710613,1558528
codingadventurebot,2683.0,2683,3250,2,2032867,10514
pawn_git,2515.81,2611,2528,-4,4769474,273043
saxtonengine,2496.05,2611,2434,-8,5205969,446832
kingfishbot,2603.39,2603,98,45,133305,245
simpleeval,2261.12,2583,14878,-11,33135851,3330581
hulkbot,1119.14,2578,785,-62,1734616,72565
cheng-4,2471.7,2577,6703,12,20531988,3185812
materialisoverrated,2477.06,2577,5645,-3,3340127,153576
weiawaga,2468.44,2564,12352,-4,42031467,4632622
misteick_bot,2467.01,2539,6153,-5,9245320,325476
admete_bot,2402.52,2527,6720,0,7029676,297664
bot_adario,2489.43,2494,2265,6,3125320,387429
openingsbot,2443.76,2483,820,1,1467842,14604
elo_1500,2456.62,2479,14840,18,8908923,273919
phalanx-xxv,2370.09,2455,2650,2,4580175,851809
garbobot,2161.32,2448,9585,11,15504816,2055686
odonata-bot,2387.03,2445,6514,-11,9379057,710348
apotheosis_bot,2429.11,2444,402,8,869700,14886
tuksubot,2410.5,2444,4095,8,9724277,760972
simplereval,2243.96,2428,3448,-10,7808872,398283
chessnoobcomp,2393.27,2424,1709,10,3977342,1249297
fornax-engine,2341.84,2414,6859,-8,9700637,1003301
pseudo-0,2411.18,2412,2954,18,5476884,753667
clueless-bot,2337.37,2399,2964,-23,4271184,553790
ravenengine,2345.42,2369,1654,14,3358104,1560940
ajedrezchamberi,2342.54,2342,274,95,724944,24204
leorikbot,2273.76,2342,860,11,1000466,48162
humanian,2238.8,2330,13145,-11,6993808,342141
nakshatra3,2240.81,2312,1627,-10,2269489,134798
fataliibot,2264.59,2302,7371,12,11495981,211901
leelalevel5,1954.81,2301,4179,-5,11110965,45003
historyexplorer,2185.99,2295,2787,-3,2690370,45688
lunachessengine,2254.04,2284,1691,6,5761071,24493
honzovy-sachy-2,2144.44,2271,7125,-17,13014484,1170305
halcyonbot,2217.39,2267,10270,-32,16619555,177444
elmichess,2011.3,2265,3671,-8,8361935,2076644
morabandbot,2219.57,2254,151,6,311673,2807
boris-trapsky,2123.82,2250,28812,-18,71570615,7772644
botpr0,2210.44,2227,385,-3,910873,136788
jangine,2124.22,2224,3446,0,5126812,101266
eubos,2111.8,2222,15227,-19,17107852,1876868
myopic-bot,2004.2,2212,1863,-6,1818440,28934
lazybotjr,1934.82,2208,1789,-22,1489052,64741
matmoi,2166.22,2199,1464,11,2690727,20459
maxthedog,2004.88,2196,4598,27,6860076,92420
leelarogue,1908.69,2186,2453,-11,6526243,302096
bcbchess,2095.18,2158,852,-38,1133593,8759
hyperopic,2104.31,2153,2138,-17,2204567,12885
