Name,Current Rating,Maximum Rating,Total Games Played,Rating Progression,Total Playing Time,Total Time on TV
abcbot,2660.76,2682,713,-18,3875052,208179
abotwith3200rating,1269.11,1518,131,-16,94331,0
admete_bot,2382.2,2441,6435,-4,7029526,297664
ajedrezchamberi,2341.76,2341,532,13,708726,24204
aks-mantissa,2495.87,2618,10723,1,16588255,1548067
apotheosis_bot,2357.96,2402,917,-13,869700,14886
arduchessbot,1759.72,1887,5889,-5,892079,4117
baby_eubos,1758.16,1872,5615,-9,6002192,33819
bcbchess,2146.09,2154,735,32,1133593,8759
berlinwallwall,2018.41,2877,630,5,252303,3474
bernd_der_bot,994.81,1198,353,-3,165339,0
blank_bot,1984.11,2180,7467,-7,6260295,173429
blundar_bot,2745.37,2865,7416,5,3938753,422853
bobandi,1210.73,1273,1208,-37,1419774,995
bobby-bot,1348.48,1366,443,6,241877,388
bot_adario,2460.51,2464,2487,0,3079229,386732
bot_elvisthecat,1981.45,2019,1829,-17,971225,7247
botgravity,2885.66,2938,3251,-6,842243,203374
botpr0,2174.32,2206,1000,8,910873,136788
bottideeval,1401.53,1457,1251,9,63003,0
caissa-ai,3128.24,3242,20707,-35,12853645,4734334
caissa-test,2839.28,2950,1486,-5,4847760,3098967
caissa-x,2956.86,2998,16926,-2,11356988,3264621
catriever,2410.83,2844,1685,9,960775,59214
cheng-4,2471.09,2565,13617,1,20453010,3181773
chess-2-bot,1941.53,2005,492,9,3631603,38213
chessbot2156,2880.88,2901,2759,-1,1674523,106727
chessbot2880,2911.76,2948,9297,10,1541050,263526
chesschildren,1745.57,2254,15996,9,23333003,2372473
chessfybot,2788.22,2856,1493,-8,672088,186822
chessnoobcomp,2350.41,2517,9922,-2,3977342,1249297
chessvbot,2777.55,2820,328,9,387675,12976
chompbot,1299.07,1524,937,-1,984542,0
clueless-bot,2414.03,2422,7308,0,4168174,551687
codingadventurebot,2873.81,2909,2055,0,2006921,10253
davidsguterbot,1612.56,1631,6359,13,3081821,4255
demolito_l5,1804.2,1949,752,23,1333223,825
demolito_l6,1870.33,2018,281,11,614527,0
dlvc-bot,1685.99,1689,195,46,305548,0
dragonflybot,1815.4,2014,2314,-58,1672444,62559
elmichess,2497.54,2620,3320,-14,8343830,2076644
elo_1500,2287.86,2354,3509,32,8719736,267288
emptik,2907.72,2948,32,-42,1921,433
etabetaita,2903.72,2904,14,-3,1080554,369066
eubos,2154.98,2209,12908,13,17013260,1875535
expositor,2529.93,2630,20416,-1,18256359,1695076
fataliibot,2257.78,2302,6076,-2,11381795,210750
firefishbot_v2,2936.01,2945,452,-6,988973,111050
fisk_bot,1740.95,1840,235,10,839835,810
flounderbot,1877.43,2015,4007,10,1308949,944
fornax-engine,2330.41,2375,7043,0,9671792,1002206
frozenightengine,2580.53,2626,9392,10,30605352,1859260
gambitengine,1944.98,2021,411,-29,1627044,1747
garbobot,2127.64,2767,9666,-20,15442043,2054894
gptplayschess,956.29,1252,76,-12,34348,0
halcyonbot,2263.44,2288,5749,2,16546054,176229
historyexplorer,2193.75,2263,2537,-10,2678248,45688
honzovy-sachy,1784.27,1918,5099,3,5856241,363320
honzovy-sachy-2,2210.33,2248,7163,-34,12943609,1169866
housjoe,2473.65,2473,193,30,15605,2795
hulkbot,1292.29,2475,1310,-43,1732353,72565
humaia,1682.49,1686,420,78,6403087,3871
humaia-strong,2073.33,2073,1387,78,2898890,31495
humanian,2252.04,2287,4589,16,6993808,342141
hyperopic,2116.86,2160,2124,-7,2003383,8700
jangine,2071.02,2187,2966,4,5080788,99487
jest-bot,2884.51,2904,4181,-3,2309013,500026
jibbby,1664.56,1715,2637,2,7064683,39346
jobabot,1986.15,2033,354,12,367964,344
joseppegodo,2686.3,2777,846,-1,522765,28883
juroj,2690.33,2797,2460,-35,28169273,1834773
karl-bot,1878.7,1931,1800,9,1271418,1504
karpov_bot,2918.76,2932,40710,20,6038539,1873476
kasabot,1908.92,1937,1949,-2,2109176,5517
kingfishbot,2512.23,2512,219,54,133305,245
knucklefish,1259.52,1621,3106,-8,786687,1632
lazybot,2701.75,2714,1436,-11,2199657,370042
lazybotjr,2094.46,2355,885,1,1449036,64741
leamoreau,2040.28,2108,413,4,645501,6651
leelalevel5,1874.57,2457,4043,-48,11110965,45003
leelamultiposs,2910.05,2910,1096,6,902379,49572
leorikbot,2255.89,2322,899,9,1000466,48162
likeawizard-bot,1832.99,1967,875,15,1957684,2840
lunachessengine,2220.75,2220,1182,16,5761071,24493
lynx_bot,1947.86,2170,6734,-3,65354585,2789998
maia1,1645.59,1976,126566,11,570241638,2963068
maia5,1640.01,2047,40214,1,290086179,3777868
maia9,1640.14,2282,62090,-57,258960012,9096697
mate-ai,2905.08,3007,14135,1,7056126,1789079
materialisoverrated,2506.51,2596,7456,-22,3340127,153576
matmoi,2108.99,2203,1689,-17,2505465,16705
maxthedog,2028.45,2193,14572,6,6745526,91300
mayhem23111,2888.53,2910,282,-22,335207,56509
md211bot,2871.2,2904,3267,7,1914401,346869
medipoluniversity,3025.54,3035,537,3,197206,12291
melsh_bot,1722.63,1892,4754,-33,2326472,8129
michabay05,1854.47,1957,2050,3,1723817,3251
misteick_bot,2411.43,2508,15967,4,9245320,325476
monchester,1496.42,1860,2428,-7,873109,9269
morabandbot,2263.95,2270,410,-1,300493,2807
mrchessthebot,2605.37,2716,5801,17,5209683,628008
mustafayilmazbot,3037.49,3307,1558,1,259767,10100
myopic-bot,2035.49,2161,1823,13,1765056,28268
nakshatra3,2232.22,2278,1506,-27,2232749,134537
nc3nc6bot,1952.86,2108,1067,-6,4303515,19375
nikitosikbot,3016.24,3057,25410,-7,25919817,3887003
notropis,1793.47,1920,4002,-16,0,0
odonata-bot,2370.02,2410,6693,-6,9337214,709456
ohnibot,1327.77,1723,511,28,375388,0
openingsbot,2396.03,2441,535,-9,1379416,10555
opentalbot2023,2364.06,2685,887,-50,419720,11221
pangubot,2913.72,2985,5876,-5,2724170,539198
pawn_git,2419.45,2561,3998,-2,4704446,269557
pawnrobot,1271.18,1467,4315,8,2526072,971
phalanx-xxv,2368.96,2417,4186,8,4525468,851024
proteussf,3006.97,3006,1359,7,2101929,152702
proteussf-godot,2944.32,2944,1685,3,842495,45871
proteussf-lite,3003.54,3009,1776,3,2562746,246645
proteussf-open,3000.55,3003,1803,3,2334910,136077
proteussf-turbo,3002.43,3027,1408,-1,3183887,211811
pseudo-0,2312.57,2361,3922,-8,5415859,748203
ptit-biscuit,1854.13,1871,846,3,824207,312
qalatbotengine,3157.37,3157,5597,2,2542089,644655
queensgambot,1847.26,2074,5623,13,3003300,93412
raspfish,2842.6,2983,54829,-4,21700653,4196731
redtail-zero,2084.63,2121,536,1,950200,5827
renegadeengine,2403.28,2404,1201,8,1929403,26285
requinbot,2107.2,2377,269,-15,377621,5810
resolutebot,2883.24,3043,25830,-4,19181636,7122772
rootengine,1976.5,2159,2568,-5,5845112,242534
roundmoundofrebounds,1505.96,1577,1344,21,2081596,391
rudim-bot,1680.37,2327,157,10,61348,349
sargon-1ply,1367.16,1888,4693,-27,8887501,8434
sargon-2ply,1472.32,1755,2606,-13,4727382,8590
sargon-3ply,1575.86,1833,1356,5,2378911,12553
sargon-4ply,1574.8,1940,1736,16,2025768,16570
saxtonengine,2476.46,2574,4280,-4,5187650,443198
schnecken_bot,1416.99,1527,996,29,778452,28
sf_bot,2582.35,2700,35,9,12083624,2354
shallowredbot,1756.23,1867,33,-56,92881,0
shineshou90_bot,2707.51,2907,9130,-8,6689595,1008711
simpleeval,2249.89,2410,25377,-6,33039554,3330581
simplereval,2271.04,2320,2701,13,7808607,398283
simplexitor,1668.02,1814,2626,4,3397217,9286
stupidchessrobot,1422.33,1480,461,-14,883134,0
sunfish_rs,1924.34,2170,1735,0,3112966,990519
the_marcus,1757.11,2036,616,10,487231,1157
thematrix2025,2902.19,2950,7832,15,2339109,397807
thematrix2029,2955.03,2972,4294,2,2128498,526073
theoden8_uci,1969.62,2012,3904,2,5728378,92796
torbot,2918.55,2962,8255,-1,2820437,487075
torombot,2920.84,2965,67231,1,17773644,6171252
trollfish-bot,2022.11,2024,3730,13,3407553,3876
ttbot,2879.31,2924,1088,-22,669822,57461
tuksubot,2345.88,2391,6833,12,9658894,756591
turkjs,1662.91,2201,21619,-6,20952393,2194914
turochamp-1ply,1503.9,1704,2118,-13,3576806,4034
turochamp-2ply,1550.82,1918,1789,-7,2462721,14950
ultimatel,2879.58,2933,1740,3,1144639,286632
virutor,1764.69,2018,6986,2,11180416,777535
waspbot,1878.05,2156,88,-32,475673,7488
weiawaga,2393.25,2519,15833,25,41835113,4619962
yellowflash-x,2820.93,2995,933,-6,135692,31871
yellowflash_v2,2940.05,2958,751,-1,107001,9889
yeoldwiz,1450.13,1643,834,18,2157231,18951
yobot_v2,2872.79,2956,21837,7,26591803,6355033
yz-bot-test,1625.9,1743,1709,9,160274,256
zagreus_engine,1917.59,2024,3334,10,4713742,26953
ze_rook,1623.9,1723,1953,6,1306423,253
zeekat,1917.47,2061,18822,-7,33501564,376262
