Name,Current Rating,Maximum Rating,Total Games Played,Rating Progression,Total Playing Time,Total Time on TV
mustafayilmazbot,3215.49,3307,1151,2,211361,7374
super-sketchy,3005.78,3010,1142,8,990435,143029
caissa-ai,3000.16,3000,11246,6,5620850,1316841
medipoluniversity,2995.68,3006,369,4,156628,12178
nikitosikbot,2944.27,3056,14627,12,18197678,2497843
qalatbotengine,2936.99,2940,4173,1,1948448,604415
torombot,2926.23,2953,50503,10,13178094,5287475
ultimatel,2923.9,2933,1111,-7,577684,188886
yellowflash-x,2913.94,2932,356,-9,59753,14007
pangubot,2903.47,2952,1687,-4,892579,202547
caissa-x,2901.0,2965,15370,-11,9742180,3032652
thematrix2029,2899.16,2952,1984,-1,1393084,315686
chessbot2880,2897.36,2948,2168,-1,346502,58157
proteussf-lite,2895.4,2901,1090,5,1591232,197271
botgravity,2891.05,2938,3094,4,794607,195015
yobot_v2,2890.09,2956,15812,1,19721072,5212472
resolutebot,2887.37,3043,25803,-4,18540867,7067388
chessbot2156,2885.26,2901,2532,-2,1621332,101052
md211bot,2881.02,2904,2144,2,977002,202648
proteussf,2880.69,2880,237,2,501651,73510
mate-ai,2878.31,2926,9595,1,5498985,1457073
torbot,2876.82,2899,2707,-5,684890,180711
thematrix2025,2870.88,2950,4817,-8,1362035,269042
yellowflash_v2,2867.93,2889,229,-8,37351,7004
jest-bot,2864.13,2885,1639,-4,841914,182226
karpov_bot,2862.05,2878,35293,-6,5372478,1728447
mayhem23111,2860.04,2879,252,27,215217,47055
shineshou90_bot,2849.1,2869,3106,-4,2441037,535701
ttbot,2840.41,2849,835,-2,426540,32752
raspfish,2804.81,2983,35998,-4,15172694,3406994
chessvbot,2803.74,2811,206,2,251871,8292
chessfybot,2788.22,2856,1493,-8,672088,186822
blundar_bot,2754.17,2865,3394,1,1622106,221111
juroj,2690.33,2797,2460,-35,25889281,1640022
joseppegodo,2686.3,2777,846,-1,522765,28883
abcbot,2666.36,2681,659,5,3390600,176701
lazybot,2651.42,2675,1278,19,1919400,368986
elmichess,2603.81,2616,3237,3,7892526,2071978
mrchessthebot,2601.47,2716,3128,-1,3011114,485340
frozenightengine,2592.25,2626,8851,-1,29383033,1825529
sf_bot,2582.35,2700,35,9,12082897,2354
saxtonengine,2551.04,2574,2580,8,3553759,374786
aks-mantissa,2499.72,2618,7050,0,12865063,1365869
materialisoverrated,2496.44,2596,3540,8,2306432,92867
expositor,2495.41,2630,13907,17,13634095,1462051
playwithkomodo,2472.87,2596,2111,15,1370534,52245
cheng-4,2444.52,2556,11678,28,17988054,3127375
pawn_git,2436.41,2518,1755,18,2107240,152893
opentalbot2023,2396.28,2685,736,-70,314300,9407
misteick_bot,2384.37,2508,10277,40,6264839,262917
requinbot,2376.89,2376,204,30,147326,5810
weiawaga,2374.33,2487,11632,-35,35516748,4434728
phalanx-xxv,2345.7,2417,2999,47,3149741,826725
odonata-bot,2341.85,2410,4461,27,7634223,671773
renegadeengine,2339.52,2348,933,-4,1607002,20953
bot_adario,2330.3,2351,1431,-10,1494587,353829
admete_bot,2310.61,2395,1287,4,1518599,125020
fornax-engine,2296.78,2360,5807,-8,8235315,971464
pseudo-0,2292.77,2361,2905,-4,3915103,735114
ajedrezchamberi,2280.44,2302,494,61,526946,24204
simpleeval,2252.24,2410,22984,5,29661266,3300766
leorikbot,2250.85,2322,857,14,963674,48162
simplereval,2218.97,2320,2347,16,6602838,390332
morabandbot,2186.82,2192,231,4,143405,2267
fataliibot,2181.69,2208,4566,1,7726678,167183
apotheosis_bot,2179.03,2253,109,15,103456,716
humanian,2174.12,2262,3815,-2,5424713,324253
honzovy-sachy-2,2167.08,2231,6059,-1,10970845,1155553
