Name,Current Rating,Maximum Rating,Total Games Played,Rating Progression,Total Playing Time,Total Time on TV
mustafayilmazbot,3037.49,3307,1558,1,259767,10100
caissa-ai,3128.24,3242,20707,-35,12984600,4749076
qalatbotengine,3157.37,3157,5597,2,2542089,644655
nikitosikbot,3016.79,3057,25474,11,26082786,3999321
resolutebot,2916.28,3043,26000,1,19328574,7145125
medipoluniversity,3025.54,3035,537,3,197206,12291
proteussf-turbo,3002.43,3027,1408,-1,3183887,211811
proteussf-lite,3003.54,3009,1776,3,2562746,246645
mate-ai,2905.08,3007,14135,1,7056126,1789079
proteussf,3006.97,3006,1359,7,2101929,152702
proteussf-open,3000.55,3003,1803,3,2334910,136077
caissa-x,2956.86,2998,16926,-2,11356988,3264621
yellowflash-x,2820.93,2995,933,-6,135692,31871
pangubot,2913.72,2985,5876,-5,2724170,539198
raspfish,2847.0,2983,55306,-7,21890954,4227983
thematrix2029,2948.25,2972,4320,-2,2130184,526527
torombot,2903.79,2965,67711,4,17926853,6211526
torbot,2919.86,2962,8257,4,2829012,489074
yellowflash_v2,2940.05,2958,751,-1,107001,9889
emptik,2956.18,2957,97,17,5701,1318
yobot_v2,2880.63,2956,21916,1,26816783,6386132
caissa-test,2839.28,2950,1486,-5,4978715,3113709
thematrix2025,2925.18,2950,7901,2,2361085,406459
chessbot2880,2911.76,2948,9297,10,1541050,263526
proteussf-godot,2938.48,2947,1715,-9,870800,65391
firefishbot_v2,2929.61,2945,503,-2,1212348,187857
botgravity,2885.66,2938,3251,-6,842243,203374
ultimatel,2879.58,2933,1740,3,1144639,286632
karpov_bot,2918.76,2932,40710,20,6038539,1873476
ttbot,2879.31,2924,1088,-22,669822,57461
leelamultiposs,2915.8,2915,1116,8,945401,63239
mayhem23111,2888.53,2910,282,-22,335207,56509
codingadventurebot,2878.78,2909,2066,5,2032867,10514
shineshou90_bot,2764.41,2907,9265,-4,6850480,1035087
etabetaita,2903.72,2904,14,-3,1080554,369066
md211bot,2871.2,2904,3267,7,1914401,346869
jest-bot,2884.51,2904,4181,-3,2309013,500026
chessbot2156,2880.88,2901,2759,-1,1674523,106727
berlinwallwall,2018.41,2877,630,5,252303,3474
blundar_bot,2698.54,2865,7580,4,4045157,462379
chessfybot,2788.22,2856,1493,-8,672088,186822
catriever,2421.75,2844,1750,19,1024300,61726
chessvbot,2777.55,2820,328,9,387675,12976
juroj,2690.33,2797,2460,-35,28169273,1834773
joseppegodo,2686.3,2777,846,-1,522765,28883
garbobot,2133.11,2767,9735,7,15503785,2055686
mrchessthebot,2601.97,2716,5879,6,5255871,632263
lazybot,2701.75,2714,1436,-11,2201970,370042
sf_bot,2582.35,2700,35,9,12083624,2354
opentalbot2023,2364.06,2685,887,-50,419720,11221
abcbot,2660.76,2682,713,-18,3875052,208179
expositor,2543.03,2630,20553,1,18360997,1707096
frozenightengine,2580.53,2626,9392,10,30605352,1859260
elmichess,2483.88,2620,3321,-29,8361935,2076644
aks-mantissa,2539.79,2618,10834,0,16710309,1558528
materialisoverrated,2506.51,2596,7456,-22,3340127,153576
saxtonengine,2468.27,2574,4312,3,5205969,446832
cheng-4,2480.42,2565,13711,1,20531486,3185812
pawn_git,2432.91,2561,4055,13,4769474,273043
weiawaga,2442.15,2519,15936,26,42030742,4632622
chessnoobcomp,2350.41,2517,9922,-2,3977342,1249297
kingfishbot,2512.23,2512,219,54,133305,245
misteick_bot,2411.43,2508,15967,4,9245320,325476
hulkbot,1292.29,2475,1311,-43,1734616,72565
housjoe,2473.65,2473,193,30,15605,2795
bot_adario,2462.92,2467,2519,3,3124175,387429
leelalevel5,1874.57,2457,4043,-48,11110965,45003
admete_bot,2382.2,2441,6435,-4,7029676,297664
openingsbot,2423.59,2441,594,24,1467842,14604
clueless-bot,2382.4,2422,7456,-14,4270519,553790
phalanx-xxv,2380.75,2417,4231,15,4580175,851809
