Name,Current Rating,Maximum Rating,Total Games Played,Rating Progression,Total Playing Time,Total Time on TV
resolutebot,2152.47,2214,1044,4,19322971,7145125
nikitosikbot,2146.15,2166,1002,2,26082786,3999321
thematrix2025,2135.83,2136,97,5,2352221,406459
torombot,2109.23,2198,698,-6,17917346,6211526
yobot_v2,2105.05,2166,1412,-6,26807690,6386132
shineshou90_bot,2100.89,2119,570,1,6845656,1035087
raspfish,2072.17,2077,862,5,21883529,4227983
mrchessthebot,1816.43,1837,387,-7,5251792,632263
openingsbot,1794.47,1798,720,12,1463655,14604
cheng-4,1732.91,1827,1115,-6,20529516,3185812
clueless-bot,1524.47,1707,625,-10,4266884,553790
fataliibot,1408.22,1531,4222,-2,11485624,211901
demolito_l6,1113.7,1241,109,5,798371,1526
dummyette,1086.97,1256,806,-40,4049646,3799
demolito_l5,1086.66,1272,282,32,1497654,825
bottideeval,963.23,1106,37,-18,63674,0
pawnrobot,869.45,1284,510,13,2542917,971
