Name,Current Rating,Maximum Rating,Total Games Played,Rating Progression,Total Playing Time,Total Time on TV
resolutebot,2149.68,2214,1022,-10,19217589,7124781
torombot,2109.28,2198,697,-12,17816356,6183312
nikitosikbot,2146.15,2166,1002,2,25978788,3928458
yobot_v2,2120.36,2166,1356,7,26645523,6363161
thematrix2025,2135.83,2136,97,5,2348519,406288
shineshou90_bot,2097.88,2119,555,3,6725697,1014482
raspfish,2061.65,2077,842,3,21740797,4202452
mrchessthebot,1803.82,1837,385,-18,5215113,630434
cheng-4,1695.66,1827,1084,28,20471091,3182237
openingsbot,1788.15,1788,674,16,1395638,10992
clueless-bot,1572.72,1707,576,-8,4199449,552128
fataliibot,1396.55,1531,4183,-12,11409452,211016
pawnrobot,860.76,1284,508,-7,2530824,971
demolito_l5,1071.74,1272,279,51,1367588,825
dummyette,1102.42,1256,801,-46,4027019,2772
demolito_l6,1103.87,1241,100,-21,658746,1526
bottideeval,980.09,1106,36,12,63119,0
