Name,Current Rating,Maximum Rating,Total Games Played,Rating Progression,Total Playing Time,Total Time on TV
aks-mantissa,2380.8,2478,1044,-26,16619060,1549352
arasanx,2531.3,2532,133,26,9286696,679186
baby_eubos,1873.81,1931,101,51,6023903,33819
bobandi,1134.97,1329,218,12,1422311,995
boris-trapsky,2068.47,2351,10707,-5,71476665,7772644
caissa-ai,2553.6,2600,741,-6,12882095,4734334
catriever,2267.69,2267,174,1,976081,60257
chat_bot,1601.83,1688,45,29,125357,96
cheng-4,2295.34,2331,1614,11,20471091,3182237
chesschildren,1712.08,1937,1271,4,23345843,2372473
chompbot,1134.39,1267,199,-8,989990,0
clueless-bot,2138.81,2154,369,14,4199449,552128
demolito_l5,1778.64,1869,42,-47,1367588,825
dragonflybot,1583.91,1830,226,-23,1688572,62559
dummyette,1554.68,1577,640,19,4027019,2772
elmichess,1910.36,2020,471,9,8347609,2076644
elo_1500,2385.43,2398,96,-10,8767383,270254
eubos,1963.36,1988,784,-20,17031502,1875775
expositor,2377.43,2429,1173,-8,18285003,1696578
g0thamb0t,949.17,1249,144,-4,97686,0
garbobot,1924.71,2185,1763,-5,15453201,2054894
