Name,Current Rating,Maximum Rating,Total Games Played,Rating Progression,Total Playing Time,Total Time on TV
proteussf-lite,2623.02,2623,140,18,2562746,246645
proteussf-open,2622.34,2622,254,16,2334910,136077
proteussf-turbo,2618.25,2639,253,12,3183887,211811
proteussf,2612.15,2612,471,11,2101929,152702
yobot_v2,2588.88,2617,266,-3,26816783,6386132
thematrix2025,2579.04,2582,38,14,2361085,406459
nikitosikbot,2574.71,2617,1321,1,26082786,3999321
raspfish,2563.62,2580,568,11,21890954,4227983
shineshou90_bot,2560.75,2586,245,-10,6850480,1035087
resolutebot,2555.69,2558,634,35,19328574,7145125
caissa-ai,2553.6,2600,741,-6,12984600,4749076
mrchessthebot,2547.62,2563,286,8,5255871,632263
arasanx,2531.3,2532,133,26,9337394,682081
elo_1500,2393.67,2404,129,-1,8908596,273919
aks-mantissa,2390.58,2478,1050,-10,16710309,1558528
expositor,2376.51,2429,1175,-14,18360997,1707096
lazybot,2343.06,2350,203,-7,2201970,370042
pawn_git,2334.23,2400,206,4,4769474,273043
catriever,2308.02,2308,204,13,1024300,61726
cheng-4,2300.4,2331,1616,16,20531486,3185812
weiawaga,2263.87,2282,6232,-1,42030742,4632622
clueless-bot,2143.52,2154,370,17,4270519,553790
tuksubot,2143.33,2172,1026,-4,9724277,760972
pseudo-0,2130.7,2173,434,-3,5476884,753667
phalanx-xxv,2090.95,2131,371,-28,4580175,851809
boris-trapsky,2071.37,2351,10737,-10,71569935,7772644
simpleeval,2063.55,2169,1943,-26,33135851,3330581
honzovy-sachy-2,2009.68,2167,755,-3,13014484,1170305
humaia-strong,1964.49,1998,242,-22,2918193,31495
eubos,1960.8,1988,785,-28,17107166,1876868
maxthedog,1953.28,2042,191,-4,6858910,92420
jangine,1949.03,2006,302,-17,5124465,101266
garbobot,1924.71,2185,1763,-5,15503785,2055686
lynx_bot,1913.94,1953,885,14,65480697,2790707
elmichess,1910.36,2020,471,9,8361935,2076644
baby_eubos,1872.75,1931,103,22,6099659,33819
zeekat,1866.2,1926,3198,-12,33815783,385096
lazybotjr,1842.2,1944,199,29,1489052,64741
leelarogue,1785.98,2117,731,-4,6524365,302096
demolito_l5,1769.51,1869,53,-4,1504864,825
nc3nc6bot,1767.2,1780,25,-46,4592369,21911
virutor,1708.52,1839,673,-14,11254724,778295
chesschildren,1706.19,1937,1275,-7,23413573,2372473
hulkbot,1672.71,2241,266,-91,1734616,72565
notropis,1665.4,1777,118,52,0,0
sargon-3ply,1655.54,1720,956,23,2407268,12553
sargon-4ply,1647.86,1838,532,6,2053913,16570
turochamp-2ply,1647.32,1692,906,5,2483881,14950
maia1,1646.28,1736,67466,7,571608739,2963068
honzovy-sachy,1645.3,1889,322,6,5934030,363320
maia9,1606.15,1949,21902,-11,259665764,9097772
chat_bot,1601.83,1688,45,29,125357,96
dragonflybot,1600.14,1830,229,-1,1730784,62559
yeoldwiz,1587.71,1680,353,11,2160116,18951
ze_rook,1561.52,1576,129,5,1414325,253
dummyette,1554.68,1577,642,19,4050833,3799
maia5,1544.52,2052,24144,-17,290935627,3777868
trollfish-bot,1534.74,1578,37,-13,3596924,3876
humaia,1506.14,1545,1176,20,6502424,3871
sargon-2ply,1445.03,1630,1386,21,4750529,8590
turochamp-1ply,1387.32,1502,1006,20,3593253,4034
roundmoundofrebounds,1359.81,1456,140,-10,2102181,391
kireevi,1348.48,1835,248,-38,884897,6359
sargon-1ply,1343.38,1477,3779,-7,8923613,8434
bobandi,1134.97,1329,218,12,1478983,995
chompbot,1133.04,1267,200,-8,1010105,0
g0thamb0t,943.51,1249,147,-10,100261,0
