Name,Current Rating,Maximum Rating,Total Games Played,Rating Progression,Total Playing Time,Total Time on TV
proteussf-turbo,2618.25,2639,253,12,3183887,211811
proteussf-lite,2623.02,2623,140,18,2562746,246645
proteussf-open,2622.34,2622,254,16,2334910,136077
yobot_v2,2589.1,2617,265,-3,26807690,6386132
nikitosikbot,2574.71,2617,1321,1,26082786,3999321
proteussf,2612.15,2612,471,11,2101929,152702
caissa-ai,2553.6,2600,741,-6,12974074,4739043
shineshou90_bot,2560.75,2586,245,-10,6845656,1035087
thematrix2025,2579.04,2582,38,14,2352221,406459
raspfish,2563.62,2580,568,11,21883529,4227983
mrchessthebot,2547.62,2563,286,8,5251792,632263
resolutebot,2555.69,2558,634,35,19322971,7145125
arasanx,2531.3,2532,133,26,9328869,682081
aks-mantissa,2382.96,2478,1049,-22,16704419,1558528
expositor,2376.51,2429,1175,-14,18355948,1707096
elo_1500,2402.51,2402,127,11,8900355,273919
pawn_git,2334.23,2400,206,4,4767082,273043
boris-trapsky,2071.37,2351,10737,-10,71566933,7772644
lazybot,2343.06,2350,203,-7,2201970,370042
cheng-4,2300.4,2331,1616,16,20529516,3185812
catriever,2308.02,2308,204,13,1022858,61726
weiawaga,2263.87,2282,6232,-1,42021367,4632622
hulkbot,1672.71,2241,266,-91,1734616,72565
garbobot,1924.71,2185,1763,-5,15497582,2055686
pseudo-0,2130.7,2173,434,-3,5475352,753667
tuksubot,2143.33,2172,1026,-4,9722856,760972
simpleeval,2063.55,2169,1943,-26,33131854,3330581
honzovy-sachy-2,2009.68,2167,755,-3,13014484,1170305
clueless-bot,2143.52,2154,370,17,4266884,553790
phalanx-xxv,2090.95,2131,371,-28,4579464,851809
leelarogue,1785.98,2117,731,-4,6522163,302096
maia5,1544.52,2052,24144,-17,290923988,3777868
maxthedog,1954.86,2042,190,-6,6852502,92420
elmichess,1910.36,2020,471,9,8361935,2076644
jangine,1949.03,2006,302,-17,5121195,101266
humaia-strong,1964.49,1998,242,-22,2918193,31495
eubos,1960.8,1988,785,-28,17102844,1876868
lynx_bot,1913.94,1953,885,14,65467731,2790707
maia9,1606.15,1949,21902,-11,259649164,9097772
lazybotjr,1842.2,1944,199,29,1484935,64741
chesschildren,1706.19,1937,1275,-7,23413573,2372473
baby_eubos,1872.75,1931,103,22,6097406,33819
zeekat,1870.61,1926,3197,-6,33800982,385096
honzovy-sachy,1645.3,1889,322,6,5930807,363320
demolito_l5,1769.51,1869,53,-4,1497654,825
virutor,1708.52,1839,673,-14,11254042,778295
sargon-4ply,1647.86,1838,532,6,2053535,16570
kireevi,1348.48,1835,248,-38,884897,6359
dragonflybot,1600.14,1830,229,-1,1728200,62559
nc3nc6bot,1767.2,1780,25,-46,4580010,21911
notropis,1653.91,1777,117,34,0,0
maia1,1651.42,1736,67460,18,571582647,2963068
sargon-3ply,1655.54,1720,956,23,2406404,12553
turochamp-2ply,1647.32,1692,906,5,2483342,14950
chat_bot,1601.83,1688,45,29,125357,96
yeoldwiz,1587.71,1680,353,11,2160116,18951
sargon-2ply,1445.03,1630,1386,21,4749475,8590
trollfish-bot,1534.74,1578,37,-13,3588881,3876
dummyette,1554.68,1577,642,19,4049646,3799
ze_rook,1565.94,1576,128,4,1407649,253
humaia,1505.77,1545,1174,15,6501353,3871
turochamp-1ply,1387.32,1502,1006,20,3593104,4034
sargon-1ply,1343.38,1477,3779,-7,8923013,8434
roundmoundofrebounds,1359.81,1456,140,-10,2102181,391
bobandi,1134.97,1329,218,12,1478915,995
chompbot,1133.04,1267,200,-8,1009526,0
g0thamb0t,943.51,1249,147,-10,100261,0
