Name,Current Rating,Maximum Rating,Total Games Played,Rating Progression,Total Playing Time,Total Time on TV
abcbot,2712.44,2719,381,-1,3398209,176701
admete_bot,2414.65,2425,793,-3,1541795,125020
aks-mantissa,2577.57,2675,3450,-8,12950531,1368733
arasanx,2770.35,2787,2507,-9,3989407,373012
ashnostromo,1745.92,1768,1134,2,1767543,10634
baby_eubos,1912.41,1966,483,5,3130180,28768
bcbchess,1902.61,1912,161,16,659421,5861
blank_bot,2081.66,2097,1072,34,4152148,165057
blundar_bot,2791.73,2827,814,-9,1622106,221111
bobandi,1064.74,1409,598,-41,1155402,995
boris-trapsky,2265.65,2590,26009,-22,67488573,7752317
bot_adario,2399.53,2412,855,28,1511652,354474
bot_elvisthecat,1985.02,1992,216,29,805967,6776
botgravity,2874.75,2878,137,-4,794973,195097
caissa-ai,3001.41,3000,1379,11,5724912,1326478
cheng-4,2448.49,2541,2447,-4,18001265,3127375
chess-2-bot,1965.97,2020,939,15,3325984,37988
chessbot2880,2889.93,2891,33,14,372968,61646
chesschildren,1719.21,1967,4287,3,19767270,2369915
chessfybot,2845.74,2853,250,-7,672088,186822
chessnoobcomp,2368.57,2368,539,37,3568708,1243276
chessvbot,2805.82,2816,56,-4,265352,8501
davidsguterbot,1540.05,1585,436,6,2342236,3701
dummyette,1641.57,1651,2968,11,3643255,2772
elmichess,2096.4,2105,1428,20,7893402,2071978
elo_1500,1739.34,2513,2491,1,5523067,256887
etabetaita,2864.28,2878,339,1,811981,257499
eubos,2200.45,2319,4079,5,14483923,1855722
expositor,2575.81,2654,3545,-2,13712635,1464173
fataliibot,2231.69,2239,1973,6,7774320,167183
fornax-engine,2392.34,2421,3488,-6,8254707,971464
garbobot,2109.06,2370,5487,-2,13120274,2046073
halcyonbot,2084.8,2146,3037,-9,7516879,130365
