Name,Current Rating,Maximum Rating,Total Games Played,Rating Progression,Total Playing Time,Total Time on TV
caissa-ai,3001.41,3000,1379,11,5745234,1326478
mate-ai,2860.98,2921,2632,-4,5548866,1466604
proteussf-lite,2907.55,2910,204,18,1693994,200708
nikitosikbot,2880.71,2903,7031,4,18372307,2539125
super-sketchy,2886.73,2903,426,2,1002851,145147
proteussf-turbo,2901.94,2901,237,4,602410,87022
pangubot,2892.36,2898,383,-6,963225,216659
yobot_v2,2865.42,2897,12251,-3,19826680,5230434
torbot,2862.41,2896,98,14,700869,182927
ultimatel,2892.53,2894,132,-2,622068,201976
chessbot2880,2889.93,2891,33,14,372968,61646
thematrix2029,2877.36,2880,656,-2,1429798,333051
torombot,2873.15,2878,1076,-2,13241026,5304618
botgravity,2874.75,2878,137,-4,794973,195097
etabetaita,2866.86,2878,351,2,821474,265902
raspfish,2827.83,2876,4370,-6,15264847,3415073
shineshou90_bot,2863.91,2876,1235,3,2527504,544402
md211bot,2858.23,2873,448,-3,1092105,218379
resolutebot,2844.97,2865,5622,-6,18543186,7067388
proteussf,2863.77,2863,56,6,572897,92201
reinforcementtrial,2813.78,2860,1749,16,1821969,627096
juroj,2848.08,2858,2843,-10,25935185,1642727
chessfybot,2845.74,2853,250,-7,672088,186822
mrchessthebot,2796.07,2842,1328,-12,3067199,493423
ttbot,2838.99,2838,93,7,442365,34175
blundar_bot,2791.73,2827,814,-9,1622106,221111
chessvbot,2805.82,2816,56,-4,265352,8501
arasanx,2775.17,2787,2516,2,4005207,373012
abcbot,2721.47,2721,385,10,3415888,182782
hulkbot,1809.0,2676,432,-72,1560950,72450
aks-mantissa,2571.6,2675,3452,-11,12962966,1368962
expositor,2575.81,2654,3546,-2,13721025,1464173
playwithkomodo,2519.15,2630,206,17,1501114,54540
boris-trapsky,2268.23,2590,26013,-12,67491006,7752317
misteick_bot,2502.0,2584,693,11,6337217,264355
lazybot,2471.46,2563,532,-61,1921238,368986
weiawaga,2541.89,2562,8836,26,35598727,4435294
cheng-4,2448.49,2541,2447,-4,18001265,3127375
pawn_git,2507.46,2528,544,-2,2150141,153293
elo_1500,1739.34,2513,2491,1,5533876,258346
odonata-bot,2408.27,2451,3572,-10,7656329,671773
simpleeval,2319.47,2436,6742,-21,29713839,3300766
admete_bot,2410.39,2425,797,-6,1547123,125020
fornax-engine,2387.21,2421,3489,-10,8258962,971464
leorikbot,2304.64,2417,330,1,978972,48162
bot_adario,2375.4,2412,858,-6,1518267,354575
phalanx-xxv,2346.67,2372,516,-4,3194969,826923
garbobot,2109.06,2370,5487,-2,13126275,2046073
pseudo-0,2358.96,2369,794,-6,3956385,735585
chessnoobcomp,2368.57,2368,539,37,3568708,1243276
simplereval,2321.93,2329,1842,6,6616719,390332
honzovy-sachy-2,2222.83,2325,3257,-12,10986591,1155553
humanian,2278.46,2324,996,5,5459070,324253
eubos,2200.45,2319,4079,5,14490369,1856123
leelalevel5,1884.06,2289,1847,41,9659792,43490
lunachessengine,2202.73,2271,721,4,3838402,15638
maxthedog,2226.57,2243,223,15,3006145,68895
fataliibot,2232.56,2239,1978,-5,7784681,167445
jangine,2190.4,2206,1211,20,3072262,90421
historyexplorer,2141.28,2179,722,17,2000039,40537
halcyonbot,2084.6,2146,3046,-6,7535247,130610
leelarogue,1895.25,2142,2412,-11,5708957,301161
nc3nc6bot,1997.88,2129,230,4,589099,7240
waspbot,2089.96,2106,107,55,427971,7488
elmichess,2096.4,2105,1428,20,7893402,2071978
blank_bot,2081.72,2097,1073,35,4154829,165057
theoden8_uci,2054.69,2089,774,-8,3989471,85081
sargon-4ply,1525.08,2082,481,-14,1402323,15641
lazybotjr,2033.56,2070,1153,72,1227106,64332
zeekat,1961.29,2062,6072,5,23890065,349839
maia9,1724.23,2022,75534,-8,228778930,9077684
chess-2-bot,1965.97,2020,939,15,3325984,37988
honzovy-sachy,1748.38,2017,759,-7,4478744,360483
wolftacticsv1,2013.74,2013,25,33,72780,0
humaia-strong,1990.41,1993,616,6,2320689,31318
virutor,1747.52,1993,3150,3,9636731,776106
bot_elvisthecat,1985.02,1992,216,29,805967,6776
chesschildren,1725.49,1967,4288,16,19771947,2369915
baby_eubos,1912.41,1966,483,5,3136470,28768
melsh_bot,1668.28,1919,153,-8,1104449,7165
bcbchess,1912.97,1912,163,15,662278,5861
notropis,1874.04,1906,1453,18,0,0
kireevi,1268.72,1903,465,-76,772257,6359
yeoldwiz,1629.63,1876,565,-34,1782662,18767
maia5,1599.01,1860,91166,10,261710862,3769352
turkjs,1665.96,1835,5342,-3,19501072,2193859
kasabot,1816.81,1833,58,-11,1370724,3716
jibbby,1711.66,1791,955,-10,3594256,34144
knightlesskid,1733.26,1781,94,41,305784,485
maia1,1544.23,1779,211273,3,519897489,2953437
ashnostromo,1739.69,1768,1135,-10,1767978,10634
turochamp-2ply,1545.73,1758,666,-32,1807885,14950
zulu_bot,1707.62,1758,57,-11,278354,534
roundmoundofrebounds,1472.32,1746,213,-53,1505202,391
sargon-3ply,1688.04,1742,1073,3,1868528,12553
simplexitor,1663.59,1712,303,-9,1961310,8070
dummyette,1641.57,1651,2968,11,3647140,2772
sargon-2ply,1384.26,1616,3051,12,4009828,8590
davidsguterbot,1540.05,1585,436,6,2342593,3701
turochamp-1ply,1358.75,1536,1417,-9,2890569,4034
sargon-1ply,1355.88,1496,8254,-26,7663087,8434
humaia,1424.89,1488,1791,5,4334936,3559
pawnrobot,1337.52,1470,384,-17,1859594,971
bobandi,1053.67,1409,600,-51,1157161,995
